ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP
Dr.O Jelly Skin Lotion 200ml,1,2,,1,2,,,34.79999924,,15,Exclusive,58,0,5060176673175,0,,,0,
Dr.O Otto Body Scrub 200ml,1,2,,1,2,,,32.40000153,,15,Exclusive,54,0,5060176673359,0,,,0,
Dr.O Otto Cleansing Milk 150ml,1,2,,1,2,,,35.40000153,,15,Exclusive,59,0,5060176673199,0,,,0,
Dr.O Otto Day Cream 50ml,1,2,,1,2,,,43.79999924,,15,Exclusive,73,0,5060176672932,0,,,0,
Dr.O Otto Eye Serum 15ml,1,2,,1,2,,,43.79999924,,15,Exclusive,73,0,5060176673038,0,,,0,
Dr.O Otto Face Mask 125ml,1,2,,1,2,,,28.79999924,,15,Exclusive,48,0,5060176672871,0,,,0,
Dr.O Otto Face Scrub 125ml,1,2,,1,2,,,28.79999924,,15,Exclusive,48,0,5060176672956,0,,,0,
Dr.O Otto Lip Serum 10ml,1,2,,1,2,,,14.97000027,,15,Exclusive,24.95000076,0,5060176672833,0,,,0,
Dr.O Otto Night Cream 50ml,1,2,,1,2,,,43.79999924,,15,Exclusive,73,0,5060176672857,0,,,0,
Dr.O Otto Shampoo 265ml,1,2,,1,2,,,27.60000038,,15,Exclusive,46,0,5060176673137,0,,,0,
Dr.O Otto Skin Toner 150ml,1,2,,1,2,,,35.40000153,,15,Exclusive,59,0,5060176672895,0,,,0,
Dr.O Otto Skin Lotion 200ml,1,2,,1,2,,,34.79999924,,15,Exclusive,58,0,5060176673090,0,,,0,
Dr.O Otto Soap 100gm,1,2,,1,2,,,13.80000019,,15,Exclusive,23,0,5060176673076,0,,,0,
